Name,RA_hms,DEC_dms,RA,DEC,us,gs,rs,is,zs,Type,SpType,fname,Gaia_DR3_ID,Variability
LTT6248,15:38:59.66,-28:35:36.87,234.74858,-28.593575,12.817,11.999,11.651,11.527,11.523,Primary,A,V2.SPSS033.ascii,6210089815971933056,Constant
G179-54,15:46:08.25,39:14:16.40,236.53438,39.237889,14.668,13.771,13.312,13.150,13.094,Secondary,F,V2.SPSS192.ascii,1377578947371340032,Constant
G224-83,15:46:14.68,62:26:39.60,236.56117,62.444333,13.838,12.993,12.553,12.393,12.339,Secondary,K,V2.SPSS133.ascii,1639946061258413312,Constant
G16-20,15:58:18.62,02:03:06.11,239.57758,2.0516972,12.069,11.051,10.605,10.442,10.380,Secondary,K,V2.SPSS134.ascii,4412702764879270656,Constant
P177-D,15:59:13.57,47:36:41.90,239.80654,47.611639,14.991,13.734,13.270,13.135,13.113,Primary,G0,V2.SPSS043.ascii,1399559249961569792,Constant
WD1606+422,16:08:22.20,42:05:43.20,242.0925,42.095333,14.173,13.756,13.972,14.200,14.465,Secondary,DA4,V2.SPSS193.ascii,1384866854036828032,Constant
WD1615-154,16:17:55.26,-15:35:51.90,244.48025,-15.59775,12.896,13.189,13.666,13.999,14.329,Secondary,DA2,V2.SPSS135.ascii,4328293291578459392,
EG274,16:23:33.84,-39:13:46.16,245.891,-39.229489,10.699,10.804,11.255,11.580,11.922,Primary,DA2,V2.SPSS016.ascii,6018034958869558912,
G180-58,16:28:16.87,44:40:38.28,247.07029,44.6773,12.611,11.612,11.085,10.891,10.808,Secondary,G/K,V2.SPSS136.ascii,1406378695954996352,Constant
WD1626+368,16:28:25.03,36:46:15.40,247.10429,36.770944,13.993,13.808,13.862,13.994,14.193,Secondary,DZA6,V2.SPSS194.ascii,1331106782752978688,Constant
G170-47,17:32:41.63,23:44:11.64,263.17346,23.736567,10.198,9.201,8.717,8.530,8.459,Secondary,G0,V2.SPSS139.ascii,4569481097095820032,Constant
1743045,17:43:04.48,66:55:01.60,265.76867,66.917111,14.698,13.560,13.535,13.605,13.670,Primary,A5,V2.SPSS035.ascii,1634280312200704768,Constant
KF08T3,17:55:16.23,66:10:11.70,268.81762,66.169917,15.601,13.747,12.989,12.740,12.594,Primary,K0,V2.SPSS045.ascii,1633294634388508416,Constant
2MASSJ17571324+6703409,17:57:13.25,67:03:40.90,269.30521,67.061361,13.022,11.845,11.819,11.905,11.979,Secondary,A3,V2.SPSS309.ascii,1633585107317144960,Constant
KF06T2,17:58:37.99,66:46:52.20,269.65829,66.781167,16.930,14.538,13.579,13.237,13.020,Primary,K1,V2.SPSS047.ascii,1633376204407124352,Constant
